bucket,recommended_action,url,slug,title,word_count,char_count,is_empty,is_thin,template_overlap_pct,template_near_dup,gsc_impressions_365d,gsc_clicks_365d,gsc_position_avg,gsc_ctr_pct,potential_score,h1_count,h1_first,http_status
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/recommended-addiction-rehab-in-crafts-ny,recommended-addiction-rehab-in-crafts-ny,,491,2953,,,7.1,,237,0,9.3,,237,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/premier-addiction-treatment-center-in-mahopac-hills-ny,premier-addiction-treatment-center-in-mahopac-hills-ny,,532,3324,,,5.3,,222,0,15.9,,222,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/comprehensive-addiction-rehab-center-in-purdys-ny,comprehensive-addiction-rehab-center-in-purdys-ny,,506,3062,,,3.0,,202,0,10.1,,202,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/leading-alcohol-rehab-center-in-allen-corners-ny,leading-alcohol-rehab-center-in-allen-corners-ny,,566,3424,,,2.8,,244,1,24.5,0.41,176,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/trusted-alcohol-rehab-center-in-brewster-hill-ny,trusted-alcohol-rehab-center-in-brewster-hill-ny,,671,4228,,,12.2,,248,0,30.5,,174,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/quality-recovery-center-in-queens-ny,quality-recovery-center-in-queens-ny,,554,3602,,,10.6,,241,0,31.3,,169,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/comprehensive-rehab-center-in-heritage-hills-ny,comprehensive-rehab-center-in-heritage-hills-ny,,429,3181,,,10.0,,210,0,24.3,,147,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/specialized-drug-and-alcohol-rehab-center-in-lewisboro-ny,specialized-drug-and-alcohol-rehab-center-in-lewisboro-ny,,725,5620,,,11.3,,455,1,43.8,0.22,142,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/effective-addiction-treatment-center-in-valeria-ny,effective-addiction-treatment-center-in-valeria-ny,,580,3804,,,3.4,,182,0,25.4,,127,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/local-addiction-treatment-center-in-granite-springs-ny,local-addiction-treatment-center-in-granite-springs-ny,,537,3339,,,2.7,,123,0,15.8,,123,0,,200
Q3+,"MONITOR — leave as-is, re-eval Q3",https://www.armsacres.com/suburb/specialized-rehab-center-in-dykeman-ny,specialized-rehab-center-in-dykeman-ny,,543,4036,,,9.2,,111,0,12.6,,111,0,,200
