"url","type","topical","clicks_365","impressions_365","pos_365","clicks_90","impressions_90","clicks_30","impressions_30","trend_pct","internal_links","backlinks","ref_main_domains","current_decision","cohort","reason"
"https://www.surfpointrecovery.com/blog/how-to-stop-dopamine-addiction","blog","core","37","14309","23.2","16","6867","0","252","-92.4","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 37 clicks 365d"
"https://www.surfpointrecovery.com/blog/what-is-claustrophobia","blog","off_topic","37","93310","30.2","19","47377","1","4868","-77.1","0","0","0","NOINDEX","B_bleeding","low-value, 37 clicks 365d"
"https://www.surfpointrecovery.com/blog/what-is-sprayed-weed","blog","core","36","19154","6.2","31","15903","3","2811","-57","2","0","0","AUDIT (core topical)","B_bleeding","low-value, 36 clicks 365d"
"https://www.surfpointrecovery.com/blog/why-do-alcoholics-lie","blog","unclassified","35","9683","19.7","20","4595","1","305","-85.7","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 35 clicks 365d"
"https://www.surfpointrecovery.com/blog/does-fidelis-cover-rehab-treatment","blog","core","35","8438","10.4","20","3340","5","448","-69","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 35 clicks 365d"
"https://www.surfpointrecovery.com/blog/average-age-of-substance-abuse","blog","unclassified","34","9766","8.8","19","3480","1","353","-77.4","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 34 clicks 365d"
"https://www.surfpointrecovery.com/blog/does-alcohol-increase-gaba","blog","unclassified","34","29901","15.1","18","13567","0","1695","-71.4","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 34 clicks 365d"
"https://www.surfpointrecovery.com/blog/how-many-people-died-from-drugs","blog","unclassified","33","19052","21.6","19","8296","0","1655","-50.1","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 33 clicks 365d"
"https://www.surfpointrecovery.com/blog/fingerprint-drug-tests","blog","adjacent","33","8283","15.9","12","2354","0","149","-86.4","0","0","0","AUDIT (adjacent w/ traffic)","B_bleeding","low-value, 33 clicks 365d"
"https://www.surfpointrecovery.com/blog/homelessness-and-addiction","blog","core","30","7651","29.3","13","2963","1","407","-68.1","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/alcohol-and-hypoglycemia","blog","unclassified","30","36118","15.7","12","14999","0","1925","-70.5","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/what-is-existential-crisis","blog","off_topic","30","136620","31.1","12","57307","1","9376","-60.9","0","0","0","NOINDEX","B_bleeding","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/free-sobriety-apps-to-boost-your-recovery","blog","core","30","18366","27.6","20","6525","7","656","-77.6","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/how-does-alcohol-affect-essential-tremor","blog","unclassified","30","21539","6.6","14","8442","0","770","-79.9","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/alcohol-and-narcissistic-personality-disorder","blog","core","30","11055","16.8","15","3498","0","6","-99.6","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/does-medicaid-cover-rehab-treatment","blog","core","29","10940","17.6","8","3400","0","350","-77","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 29 clicks 365d"
"https://www.surfpointrecovery.com/blog/is-sugar-a-drug","blog","unclassified","29","23359","19.5","23","13001","3","2584","-50.4","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 29 clicks 365d"
"https://www.surfpointrecovery.com/blog/list-of-phobias-most-common-fears","blog","off_topic","28","18139","21.7","18","7337","0","74","-97.9","0","0","0","NOINDEX","B_bleeding","low-value, 28 clicks 365d"
"https://www.surfpointrecovery.com/blog/adult-children-of-alcoholics","blog","unclassified","28","7454","16.9","8","2683","1","222","-81.9","0","0","0","AUDIT (unclassified w/ traffic)","B_bleeding","low-value, 28 clicks 365d"
"https://www.surfpointrecovery.com/blog/what-causes-shopping-addiction","blog","core","28","11599","25.2","9","4361","0","454","-76.7","0","0","0","AUDIT (core topical)","B_bleeding","low-value, 28 clicks 365d"
