domain,decision,reason,spam_score,backlinks,rank
seo-cartel-20.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-22.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-25.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-26.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-27.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-29.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-30.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-33.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-34.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-35.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-36.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-39.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-40.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-43.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-45.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-50.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-51.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-53.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-69.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-71.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-75.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-77.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-80.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-82.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-83.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-86.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-89.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-90.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-92.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-93.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-94.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-96.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-98.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
seo-cartel-99.online,AUTO,soft-spam TLD .online + spam_score=55; all-nofollow + spam_score=55 + rank=0,55,1,0
alljobs.info,AUTO,soft-spam TLD .info + spam_score=50,50,2,0
andmax.fr,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
batizens.vn,AUTO,all-nofollow + spam_score=50 + rank=0,50,3,0
buzzshrink.website,AUTO,soft-spam TLD .website + spam_score=50; all-nofollow + spam_score=50 + rank=0,50,1,0
bye.fyi,AUTO,soft-spam TLD .fyi + spam_score=50; all-nofollow + spam_score=50 + rank=0,50,2,0
drjack.world,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
fusioncreations.co.uk,AUTO,all-nofollow + spam_score=50 + rank=0,50,8,0
jake.eu,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
lukang-audio.com,AUTO,all-nofollow + spam_score=50 + rank=0,50,3,0
mainpg88.com,AUTO,all-nofollow + spam_score=50 + rank=0,50,4,0
mltboron.com,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
olivare.com.ar,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
quero.party,AUTO,hard-spam TLD .party + spam_score=50; all-nofollow + spam_score=50 + rank=0,50,2,0
screenshots.wiki,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
shortenurls.eu,AUTO,all-nofollow + spam_score=50 + rank=0,50,2,0
simedia.co.th,AUTO,all-nofollow + spam_score=50 + rank=0,50,1,0
ycm.info,AUTO,soft-spam TLD .info + spam_score=50,50,1,0
aweblist.org,KEEP,no flag,37,2,0
abnews-wire.blogspot.com,KEEP,safety allowlist,35,8,0
sici.uk,KEEP,no flag,35,2,0
dbsdirectory.com,KEEP,no flag,30,1,0
efdir.com,KEEP,no flag,30,1,0
marlene-durocher.pages.dev,KEEP,no flag,30,1,0
aboutqplant.com,KEEP,no flag,25,1,0
arcticdirectory.com,KEEP,no flag,25,1,0
cdj-bouffort.com,KEEP,no flag,25,2,0
dcoutesnjacob.com,KEEP,no flag,25,4,0
idealnet.com.hk,KEEP,no flag,25,5,0
unipv.it,KEEP,no flag,25,1,0
vilagrad.com,KEEP,no flag,25,2,0
lebazzar-demadous.site,KEEP,no flag,22,2,0
alligatorlaundromat.com,KEEP,no flag,20,2,0
danielle-newton.pages.dev,KEEP,no flag,20,1,0
digitalatto.io,KEEP,no flag,20,1,0
grokipedia.com,KEEP,no flag,20,4,0
nashglobalgroup.com,KEEP,no flag,20,2,0
poordirectory.com,KEEP,no flag,20,2,0
stablegeeksstaffing.com,KEEP,no flag,20,1,0
windowssearch-exp.com,KEEP,no flag,20,25,33
fedclear.co.za,KEEP,no flag,17,2,0
academia.edu.gt,KEEP,gov/edu,15,3,0
anakarolinapsicologa.com,KEEP,no flag,15,3,0
b-cdn.net,KEEP,no flag,15,4,26
centrumperto.pl,KEEP,no flag,15,1,0
eklipsinvestmentghltd.com,KEEP,no flag,15,1,0
furndek.com.sg,KEEP,no flag,15,1,0
miami-restaurant.com,KEEP,no flag,15,1,0
nanochem.com.vn,KEEP,no flag,15,1,0
pianolaureescientifiche.it,KEEP,no flag,15,1,7
rarar.com.bd,KEEP,no flag,15,1,0
rbexcellentairportservicesinc.ca,KEEP,no flag,15,1,0
startyourrecovery.org,KEEP,no flag,15,2,35
unitedstatesbd.com,KEEP,no flag,15,2,8
pochiwinebarde.com,KEEP,no flag,12,2,30
batchgeo.com,KEEP,no flag,11,33,101
blackandbluedirectory.com,KEEP,no flag,10,2,0
blackgreendirectory.com,KEEP,no flag,10,2,0
coolestgadgetsandgizmos.com,KEEP,no flag,10,1,0
csnakliyat.com,KEEP,no flag,10,1,0
diyprinting.shop,KEEP,no flag,10,1,0
grupoalpes.com.br,KEEP,no flag,10,1,0
hercampus.com,KEEP,no flag,10,1,0
jody-law.pages.dev,KEEP,no flag,10,1,0
konditorei-kalt.de,KEEP,no flag,10,1,0
marketminute.com,KEEP,no flag,10,2,0
siteprice.org,KEEP,no flag,10,1,0
